id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
783,10/9/2016,Celta,Ath Madrid,0,4,A,0,0,D,9,13,1,6,13,12,6,4,1,2,0,0
784,10/9/2016,Malaga,Villarreal,0,2,A,0,2,A,15,12,2,6,8,14,9,7,2,1,0,0
785,10/9/2016,Real Madrid,Osasuna,5,2,H,3,0,H,25,10,11,3,14,14,6,7,2,2,0,1
786,10/9/2016,Sevilla,Las Palmas,2,1,H,0,1,A,16,7,7,4,15,13,10,1,2,4,0,1
787,11/9/2016,Granada,Eibar,1,2,A,0,1,A,15,10,5,8,7,8,6,7,2,0,0,1
788,11/9/2016,La Coruna,Ath Bilbao,0,1,A,0,1,A,16,7,3,2,15,15,7,6,2,3,0,0
789,11/9/2016,Sp Gijon,Leganes,2,1,H,2,0,H,7,9,4,2,12,16,3,5,0,2,0,0
790,11/9/2016,Valencia,Betis,2,3,A,0,1,A,23,12,9,5,15,21,5,5,2,4,1,0
791,16/09/16,Betis,Granada,2,2,D,1,2,A,23,15,7,8,13,17,7,3,4,3,1,1
792,17/09/16,Ath Madrid,Sp Gijon,5,0,H,3,0,H,18,10,7,1,14,9,1,4,0,2,0,0
793,17/09/16,Eibar,Sevilla,1,1,D,0,1,A,10,8,2,4,19,10,4,2,1,1,2,0
794,17/09/16,Las Palmas,Malaga,1,0,H,1,0,H,6,10,2,2,11,18,2,2,3,1,0,0
795,17/09/16,Leganes,Barcelona,1,5,A,0,3,A,15,10,6,7,28,7,2,5,4,2,0,0
796,18/09/16,Ath Bilbao,Valencia,2,1,H,2,1,H,13,10,4,2,19,20,7,1,4,4,0,0
797,18/09/16,Espanol,Real Madrid,0,2,A,0,1,A,11,13,2,7,19,8,4,5,4,2,0,0
798,18/09/16,Osasuna,Celta,0,0,D,0,0,D,9,13,2,5,18,13,3,5,4,1,0,0
799,18/09/16,Villarreal,Sociedad,2,1,H,2,1,H,9,15,4,2,13,16,3,6,2,3,0,1
800,19/09/16,Alaves,La Coruna,0,0,D,0,0,D,9,16,1,1,16,8,4,5,3,4,0,0
801,20/09/16,Malaga,Eibar,2,1,H,1,1,D,14,12,6,3,7,13,7,5,2,4,0,0
802,20/09/16,Sevilla,Betis,1,0,H,0,0,D,12,8,3,3,24,17,6,2,5,4,0,0
803,21/09/16,Barcelona,Ath Madrid,1,1,D,1,0,H,19,9,7,4,14,17,8,2,2,4,0,0
804,21/09/16,Celta,Sp Gijon,2,1,H,0,0,D,16,4,5,1,16,8,8,0,2,3,0,0
805,21/09/16,Granada,Ath Bilbao,1,2,A,1,1,D,13,13,2,8,8,9,6,3,1,0,0,0
806,21/09/16,Real Madrid,Villarreal,1,1,D,0,1,A,22,8,6,3,9,9,17,3,4,1,0,0
807,21/09/16,Sociedad,Las Palmas,4,1,H,3,0,H,17,8,7,3,3,7,7,4,1,2,0,1
808,22/09/16,La Coruna,Leganes,1,2,A,1,0,H,12,8,5,2,20,18,7,1,0,3,0,0
809,22/09/16,Osasuna,Espanol,1,2,A,0,1,A,17,10,11,2,16,14,7,1,2,1,0,0
810,22/09/16,Valencia,Alaves,2,1,H,1,1,D,12,8,2,1,14,13,7,4,2,3,0,0
811,23/09/16,Betis,Malaga,1,0,H,1,0,H,11,16,4,6,20,15,6,5,4,6,0,0
812,24/09/16,Ath Bilbao,Sevilla,3,1,H,1,0,H,14,5,7,2,9,9,4,5,2,2,0,1
813,24/09/16,Eibar,Sociedad,2,0,H,0,0,D,17,3,3,0,15,13,5,3,4,2,0,1
814,24/09/16,Las Palmas,Real Madrid,2,2,D,1,1,D,8,27,6,11,7,19,0,5,3,2,0,0
815,24/09/16,Sp Gijon,Barcelona,0,5,A,0,2,A,10,13,3,7,15,10,4,3,1,0,1,0
816,25/09/16,Ath Madrid,La Coruna,1,0,H,0,0,D,21,8,5,1,13,19,10,0,1,2,0,1
817,25/09/16,Espanol,Celta,0,2,A,0,0,D,10,12,2,4,15,13,4,7,2,3,0,0
818,25/09/16,Leganes,Valencia,1,2,A,1,1,D,7,10,3,4,19,17,1,5,4,4,0,0
819,25/09/16,Villarreal,Osasuna,3,1,H,3,1,H,12,11,5,3,7,16,5,5,0,2,0,0
820,26/09/16,Alaves,Granada,3,1,H,0,0,D,16,13,6,3,15,19,5,6,3,3,0,0
821,30/09/16,Sociedad,Betis,1,0,H,0,0,D,16,5,8,2,17,22,4,2,2,3,0,0
822,1/10/2016,Granada,Leganes,0,1,A,0,0,D,8,9,1,3,13,20,6,4,1,0,0,0
823,1/10/2016,La Coruna,Sp Gijon,2,1,H,1,0,H,21,7,6,2,17,26,11,4,0,4,0,0
824,1/10/2016,Osasuna,Las Palmas,2,2,D,2,0,H,5,17,3,5,17,7,1,12,3,4,0,0
825,1/10/2016,Sevilla,Alaves,2,1,H,0,0,D,20,6,12,1,10,13,9,2,2,6,0,0
826,2/10/2016,Celta,Barcelona,4,3,H,3,0,H,14,13,9,4,16,11,3,6,1,3,0,0
827,2/10/2016,Espanol,Villarreal,0,0,D,0,0,D,9,5,1,1,14,10,3,1,2,2,0,0
828,2/10/2016,Malaga,Ath Bilbao,2,1,H,0,1,A,15,7,3,1,19,11,7,2,7,3,1,1
829,2/10/2016,Real Madrid,Eibar,1,1,D,1,1,D,15,7,3,4,8,15,7,5,4,5,0,0
830,2/10/2016,Valencia,Ath Madrid,0,2,A,0,0,D,14,17,5,10,10,15,6,5,1,3,0,0
831,14/10/16,Las Palmas,Espanol,0,0,D,0,0,D,13,5,8,2,13,21,8,4,2,3,0,0
832,15/10/16,Ath Madrid,Granada,7,1,H,2,1,H,17,9,11,2,14,8,11,3,1,1,0,0
833,15/10/16,Barcelona,La Coruna,4,0,H,3,0,H,25,7,8,0,5,15,8,2,1,2,0,1
834,15/10/16,Betis,Real Madrid,1,6,A,0,4,A,13,22,2,9,14,8,2,5,4,1,0,0
835,15/10/16,Leganes,Sevilla,2,3,A,0,1,A,19,5,6,4,17,20,5,2,2,5,0,0
836,16/10/16,Alaves,Malaga,1,1,D,1,0,H,8,12,4,5,14,14,6,7,3,3,1,1
837,16/10/16,Ath Bilbao,Sociedad,3,2,H,0,1,A,15,6,11,3,17,19,7,4,3,3,0,0
838,16/10/16,Sp Gijon,Valencia,1,2,A,1,1,D,10,7,2,3,21,11,4,4,5,1,0,0
839,16/10/16,Villarreal,Celta,5,0,H,3,0,H,11,4,5,1,19,12,3,5,1,4,0,1
840,17/10/16,Eibar,Osasuna,2,3,A,2,2,D,13,8,5,4,15,12,5,0,1,2,0,0
841,21/10/16,Osasuna,Betis,1,2,A,0,1,A,13,12,5,6,20,12,6,4,3,2,1,0
842,22/10/16,Espanol,Eibar,3,3,D,0,3,A,11,8,5,3,11,12,7,6,1,6,1,0
843,22/10/16,Granada,Sp Gijon,0,0,D,0,0,D,12,3,1,3,10,12,3,3,4,1,0,0
844,22/10/16,Sociedad,Alaves,3,0,H,1,0,H,16,10,5,3,17,20,4,2,3,5,0,0
845,22/10/16,Valencia,Barcelona,2,3,A,0,1,A,7,15,4,8,15,13,3,1,5,4,0,0
846,23/10/16,Celta,La Coruna,4,1,H,1,1,D,9,11,7,1,17,15,5,4,3,5,0,0
847,23/10/16,Malaga,Leganes,4,0,H,2,0,H,24,14,8,5,12,15,5,8,1,3,0,0
848,23/10/16,Real Madrid,Ath Bilbao,2,1,H,1,1,D,24,10,8,3,10,17,6,4,2,3,0,0
849,23/10/16,Sevilla,Ath Madrid,1,0,H,0,0,D,12,9,5,3,15,11,4,5,4,2,0,1
850,23/10/16,Villarreal,Las Palmas,2,1,H,0,1,A,14,8,4,4,16,12,2,1,2,3,0,0
851,28/10/16,Leganes,Sociedad,0,2,A,0,1,A,7,9,4,5,19,15,1,4,5,2,0,0
852,29/10/16,Alaves,Real Madrid,1,4,A,1,2,A,8,15,3,5,15,6,4,3,5,1,0,0
853,29/10/16,Ath Madrid,Malaga,4,2,H,3,1,H,16,6,7,3,10,10,6,2,2,4,1,1
854,29/10/16,Barcelona,Granada,1,0,H,0,0,D,15,1,5,0,7,17,8,1,1,4,0,0
855,29/10/16,Sp Gijon,Sevilla,1,1,D,1,1,D,9,20,5,6,17,9,3,4,6,2,0,0
856,30/10/16,Ath Bilbao,Osasuna,1,1,D,1,1,D,18,7,4,3,10,11,9,2,2,1,0,0
857,30/10/16,Betis,Espanol,0,1,A,0,0,D,13,10,5,5,15,15,8,3,3,3,0,0
858,30/10/16,Eibar,Villarreal,2,1,H,0,1,A,13,6,9,1,16,16,3,7,2,3,0,0
859,30/10/16,Las Palmas,Celta,3,3,D,0,3,A,17,9,8,6,13,22,8,1,2,6,0,1
860,31/10/16,La Coruna,Valencia,1,1,D,1,0,H,16,10,4,3,14,21,5,6,1,5,0,0
861,4/11/2016,Malaga,Sp Gijon,3,2,H,1,1,D,22,7,7,4,12,20,9,2,5,4,0,1
862,5/11/2016,Granada,La Coruna,1,1,D,0,0,D,14,13,6,5,11,7,7,6,1,2,0,0
863,5/11/2016,Las Palmas,Eibar,1,0,H,0,0,D,16,13,6,5,10,20,7,4,1,4,0,0
864,5/11/2016,Osasuna,Alaves,0,1,A,0,0,D,10,12,4,3,18,10,3,4,5,2,0,0
865,5/11/2016,Sociedad,Ath Madrid,2,0,H,0,0,D,12,9,3,2,18,20,6,6,2,4,0,0
866,6/11/2016,Celta,Valencia,2,1,H,1,1,D,7,13,4,4,19,15,4,3,6,1,0,0
867,6/11/2016,Espanol,Ath Bilbao,0,0,D,0,0,D,6,4,3,0,13,11,5,3,1,2,0,0
868,6/11/2016,Real Madrid,Leganes,3,0,H,2,0,H,17,7,7,3,7,20,2,2,3,5,0,0
869,6/11/2016,Sevilla,Barcelona,1,2,A,1,1,D,15,14,4,7,18,12,3,5,4,6,0,0
870,6/11/2016,Villarreal,Betis,2,0,H,1,0,H,15,7,7,3,16,12,10,1,0,2,0,0
871,18/11/16,Betis,Las Palmas,2,0,H,2,0,H,10,9,3,3,22,10,4,5,0,1,0,0
872,19/11/16,Ath Madrid,Real Madrid,0,3,A,0,1,A,16,12,5,7,21,14,8,6,4,2,0,0
873,19/11/16,Barcelona,Malaga,0,0,D,0,0,D,28,4,8,1,13,12,14,1,0,2,0,2
874,19/11/16,Eibar,Celta,1,0,H,1,0,H,12,6,5,2,11,13,7,0,2,5,0,2
875,19/11/16,La Coruna,Sevilla,2,3,A,2,1,H,4,20,3,7,15,12,3,14,3,2,0,0
876,20/11/16,Alaves,Espanol,0,1,A,0,0,D,10,10,4,3,20,14,2,5,5,2,0,0
877,20/11/16,Ath Bilbao,Villarreal,1,0,H,0,0,D,12,6,5,2,13,17,6,5,0,2,0,0
878,20/11/16,Sp Gijon,Sociedad,1,3,A,1,1,D,4,20,1,9,17,9,3,5,2,1,0,0
879,20/11/16,Valencia,Granada,1,1,D,0,1,A,14,9,7,5,7,18,11,2,1,5,0,0
880,21/11/16,Leganes,Osasuna,2,0,H,1,0,H,15,5,5,2,13,17,3,2,2,3,0,0
881,25/11/16,Eibar,Betis,3,1,H,2,0,H,16,7,9,2,11,7,5,1,0,1,0,1
882,26/11/16,Espanol,Leganes,3,0,H,0,0,D,8,8,4,3,19,16,3,4,1,2,0,0
883,26/11/16,Malaga,La Coruna,4,3,H,2,1,H,10,24,4,8,15,13,2,5,3,1,0,0
884,26/11/16,Real Madrid,Sp Gijon,2,1,H,2,1,H,19,9,7,3,19,18,5,6,1,3,0,0
885,26/11/16,Sevilla,Valencia,2,1,H,0,0,D,6,10,1,4,19,14,3,6,0,1,0,0
886,27/11/16,Celta,Granada,3,1,H,2,0,H,16,7,6,1,4,15,5,0,0,3,0,0
887,27/11/16,Osasuna,Ath Madrid,0,3,A,0,2,A,11,7,1,5,9,6,7,4,2,2,0,0
888,27/11/16,Sociedad,Barcelona,1,1,D,0,0,D,17,10,6,2,16,11,8,6,2,4,0,0
889,27/11/16,Villarreal,Alaves,0,2,A,0,2,A,23,10,10,7,11,19,12,1,2,3,0,0
890,28/11/16,Las Palmas,Ath Bilbao,3,1,H,1,0,H,10,10,4,3,19,21,5,3,3,4,0,1
891,3/12/2016,Ath Madrid,Espanol,0,0,D,0,0,D,11,5,3,3,10,19,9,2,2,2,0,0
892,3/12/2016,Barcelona,Real Madrid,1,1,D,0,0,D,11,14,2,5,19,16,5,7,4,2,0,0
893,3/12/2016,Granada,Sevilla,2,1,H,1,0,H,11,17,6,6,18,16,4,8,5,2,0,0
894,3/12/2016,Leganes,Villarreal,0,0,D,0,0,D,11,9,4,3,21,16,2,4,6,3,0,0
895,4/12/2016,Alaves,Las Palmas,1,1,D,1,0,H,9,10,2,3,15,11,3,5,3,3,0,0
896,4/12/2016,Ath Bilbao,Eibar,3,1,H,1,0,H,12,10,5,4,9,16,2,2,1,4,0,0
897,4/12/2016,Betis,Celta,3,3,D,1,1,D,16,13,5,6,22,14,4,3,4,1,1,0
898,4/12/2016,Sp Gijon,Osasuna,3,1,H,1,0,H,9,15,5,2,17,13,2,5,3,1,0,0
899,4/12/2016,Valencia,Malaga,2,2,D,2,1,H,8,19,3,6,16,7,2,13,5,1,0,0
900,5/12/2016,La Coruna,Sociedad,5,1,H,3,0,H,15,14,10,3,15,10,8,6,1,4,0,0
901,9/12/2016,Malaga,Granada,1,1,D,1,0,H,16,8,7,2,16,14,6,2,3,5,0,0
902,10/12/2016,Las Palmas,Leganes,1,1,D,1,0,H,5,11,1,6,17,18,6,4,3,3,0,0
903,10/12/2016,Osasuna,Barcelona,0,3,A,0,0,D,4,17,1,6,18,6,2,5,3,0,0,0
904,10/12/2016,Real Madrid,La Coruna,3,2,H,0,0,D,17,4,5,2,16,17,10,3,3,4,0,0
905,10/12/2016,Sociedad,Valencia,3,2,H,2,1,H,14,9,6,3,17,20,8,4,4,4,0,1
906,11/12/2016,Betis,Ath Bilbao,1,0,H,1,0,H,6,14,1,4,14,12,3,7,3,2,0,0
907,11/12/2016,Celta,Sevilla,0,3,A,0,0,D,14,14,6,5,13,13,4,6,3,3,0,0
908,11/12/2016,Eibar,Alaves,0,0,D,0,0,D,8,3,1,3,14,7,7,2,1,1,0,0
909,11/12/2016,Espanol,Sp Gijon,2,1,H,0,0,D,12,13,6,5,13,10,4,3,1,2,0,0
910,12/12/2016,Villarreal,Ath Madrid,3,0,H,2,0,H,9,13,5,3,13,13,2,7,3,3,0,0
911,16/12/16,Alaves,Betis,1,0,H,0,0,D,10,6,2,3,20,6,6,4,6,1,0,0
912,17/12/16,Ath Madrid,Las Palmas,1,0,H,0,0,D,16,11,3,3,15,11,8,5,2,1,0,0
913,17/12/16,Granada,Sociedad,0,2,A,0,0,D,10,18,4,6,9,11,5,9,0,1,0,0
914,17/12/16,Sevilla,Malaga,4,1,H,4,0,H,9,16,5,3,17,12,3,6,2,3,1,0
915,17/12/16,Sp Gijon,Villarreal,1,3,A,0,2,A,16,14,7,9,16,14,12,2,2,1,0,0
916,18/12/16,Barcelona,Espanol,4,1,H,1,0,H,14,4,7,1,11,16,5,2,0,3,0,0
917,18/12/16,La Coruna,Osasuna,2,0,H,2,0,H,8,13,4,3,8,16,5,1,1,3,0,0
918,18/12/16,Leganes,Eibar,1,1,D,1,0,H,8,15,2,4,10,10,3,6,2,2,1,0
919,19/12/16,Ath Bilbao,Celta,2,1,H,0,0,D,10,10,7,4,16,13,9,7,4,2,0,1
920,6/1/2017,Espanol,La Coruna,1,1,D,0,0,D,14,13,4,3,13,14,2,8,1,1,0,1
921,7/1/2017,Eibar,Ath Madrid,0,2,A,0,0,D,15,8,2,4,11,10,5,3,2,2,0,0
922,7/1/2017,Las Palmas,Sp Gijon,1,0,H,0,0,D,16,10,10,2,8,18,8,3,2,3,0,0
923,7/1/2017,Real Madrid,Granada,5,0,H,4,0,H,23,3,13,1,11,12,9,1,1,4,0,0
924,7/1/2017,Sociedad,Sevilla,0,4,A,0,2,A,11,11,5,10,15,18,7,4,2,3,0,0
925,8/1/2017,Ath Bilbao,Alaves,0,0,D,0,0,D,15,10,4,4,10,13,13,4,2,4,0,0
926,8/1/2017,Betis,Leganes,2,0,H,0,0,D,16,9,3,3,10,20,4,2,2,6,0,0
927,8/1/2017,Celta,Malaga,3,1,H,1,0,H,6,13,3,4,17,15,2,7,1,4,0,0
928,8/1/2017,Villarreal,Barcelona,1,1,D,0,0,D,6,20,3,7,16,13,2,4,1,2,1,0
929,9/1/2017,Osasuna,Valencia,3,3,D,1,2,A,22,7,4,3,19,13,7,3,2,5,0,0
930,14/01/17,Ath Madrid,Betis,1,0,H,1,0,H,6,10,3,6,15,17,9,2,1,3,0,0
931,14/01/17,Barcelona,Las Palmas,5,0,H,1,0,H,22,7,10,1,15,11,5,1,3,4,0,0
932,14/01/17,La Coruna,Villarreal,0,0,D,0,0,D,13,4,3,1,14,8,10,0,0,1,0,0
933,14/01/17,Leganes,Ath Bilbao,0,0,D,0,0,D,15,10,5,2,20,11,4,8,3,3,0,0
934,15/01/17,Celta,Alaves,1,0,H,0,0,D,13,9,4,1,19,10,7,4,4,3,0,1
935,15/01/17,Granada,Osasuna,1,1,D,0,1,A,8,13,4,3,13,23,3,5,2,4,2,0
936,15/01/17,Sevilla,Real Madrid,2,1,H,0,0,D,9,10,4,3,13,10,6,1,3,1,0,0
937,15/01/17,Sp Gijon,Eibar,2,3,A,1,3,A,10,18,4,7,13,16,2,4,4,0,0,0
938,15/01/17,Valencia,Espanol,2,1,H,1,0,H,10,6,5,3,17,13,6,3,5,0,0,0
939,16/01/17,Malaga,Sociedad,0,2,A,0,0,D,5,11,1,5,22,12,8,8,0,2,0,0
940,20/01/17,Las Palmas,La Coruna,1,1,D,1,0,H,9,7,3,1,13,8,4,5,0,1,1,0
941,21/01/17,Alaves,Leganes,2,2,D,1,1,D,8,13,3,4,9,20,4,3,3,2,0,0
942,21/01/17,Espanol,Granada,3,1,H,2,1,H,17,7,8,4,19,17,10,5,0,3,0,0
943,21/01/17,Real Madrid,Malaga,2,1,H,2,0,H,14,10,7,6,7,20,5,4,2,3,0,0
944,21/01/17,Villarreal,Valencia,0,2,A,0,2,A,20,13,5,5,14,17,7,2,2,2,0,0
945,22/01/17,Ath Bilbao,Ath Madrid,2,2,D,1,1,D,8,11,5,5,12,9,2,6,2,3,0,0
946,22/01/17,Betis,Sp Gijon,0,0,D,0,0,D,16,7,4,1,14,20,9,5,2,2,0,0
947,22/01/17,Eibar,Barcelona,0,4,A,0,1,A,14,14,6,7,12,4,8,5,3,1,0,0
948,22/01/17,Osasuna,Sevilla,3,4,A,1,1,D,14,13,7,9,14,8,3,6,5,3,0,0
949,22/01/17,Sociedad,Celta,1,0,H,0,0,D,17,11,6,5,13,12,4,3,2,2,0,0
950,27/01/17,Osasuna,Malaga,1,1,D,0,0,D,14,14,2,5,9,16,4,6,1,0,0,0
951,28/01/17,Alaves,Ath Madrid,0,0,D,0,0,D,19,8,4,2,19,18,7,2,3,2,0,0
952,28/01/17,Eibar,La Coruna,3,1,H,2,1,H,12,20,6,7,14,7,9,10,0,2,0,0
953,28/01/17,Leganes,Celta,0,2,A,0,1,A,6,3,0,3,20,14,8,0,1,1,0,0
954,28/01/17,Villarreal,Granada,2,0,H,1,0,H,18,7,6,0,11,18,7,4,3,2,0,0
955,29/01/17,Ath Bilbao,Sp Gijon,2,1,H,0,1,A,11,5,6,3,11,22,5,0,4,3,0,0
956,29/01/17,Betis,Barcelona,1,1,D,0,0,D,17,10,7,4,17,12,8,2,2,3,0,0
957,29/01/17,Espanol,Sevilla,3,1,H,2,1,H,16,12,8,5,18,14,7,4,2,2,0,1
958,29/01/17,Real Madrid,Sociedad,3,0,H,1,0,H,7,9,4,3,16,11,0,3,2,1,0,1
959,30/01/17,Las Palmas,Valencia,3,1,H,1,1,D,9,8,4,3,17,13,6,3,1,3,0,1
960,4/2/2017,Ath Madrid,Leganes,2,0,H,1,0,H,12,15,4,2,10,15,3,6,1,1,0,0
961,4/2/2017,Barcelona,Ath Bilbao,3,0,H,2,0,H,16,10,6,5,11,18,7,3,1,3,0,0
962,4/2/2017,Malaga,Espanol,0,1,A,0,1,A,19,4,5,3,9,18,17,2,1,4,0,0
963,4/2/2017,Valencia,Eibar,0,4,A,0,2,A,8,11,1,7,12,10,2,6,2,1,1,0
964,5/2/2017,Sevilla,Villarreal,0,0,D,0,0,D,14,11,4,4,14,16,9,0,2,2,0,0
965,5/2/2017,Sociedad,Osasuna,3,2,H,0,1,A,13,11,6,5,6,22,3,2,2,2,0,0
966,5/2/2017,Sp Gijon,Alaves,2,4,A,0,1,A,12,14,4,7,20,20,8,4,7,3,0,0
967,6/2/2017,Granada,Las Palmas,1,0,H,1,0,H,12,15,4,5,27,9,6,5,5,3,0,0
968,10/2/2017,Espanol,Sociedad,1,2,A,1,1,D,7,15,2,5,15,14,5,6,3,2,0,0
969,11/2/2017,Alaves,Barcelona,0,6,A,0,2,A,9,21,4,9,16,9,3,9,1,3,0,0
970,11/2/2017,Ath Bilbao,La Coruna,2,1,H,0,1,A,13,8,5,3,12,11,3,2,1,2,0,0
971,11/2/2017,Betis,Valencia,0,0,D,0,0,D,16,8,2,4,15,17,4,6,4,3,0,0
972,11/2/2017,Osasuna,Real Madrid,1,3,A,1,1,D,11,12,8,6,10,8,3,2,3,2,0,0
973,12/2/2017,Ath Madrid,Celta,3,2,H,1,1,D,16,14,5,6,11,13,3,3,1,2,0,0
974,12/2/2017,Las Palmas,Sevilla,0,1,A,0,0,D,15,12,7,3,15,16,1,4,2,4,0,0
975,12/2/2017,Leganes,Sp Gijon,0,2,A,0,0,D,9,4,3,2,16,16,4,3,3,6,0,1
976,12/2/2017,Villarreal,Malaga,1,1,D,0,1,A,12,11,5,5,14,12,9,9,0,5,1,0
977,13/02/17,Eibar,Granada,4,0,H,2,0,H,25,13,9,3,11,14,7,8,2,2,0,0
978,17/02/17,Granada,Betis,4,1,H,3,0,H,10,6,8,2,18,9,4,7,4,1,1,1
979,18/02/17,La Coruna,Alaves,0,1,A,0,0,D,16,6,4,4,13,13,10,6,5,3,0,0
980,18/02/17,Real Madrid,Espanol,2,0,H,1,0,H,12,3,3,1,12,13,13,2,3,4,0,0
981,18/02/17,Sevilla,Eibar,2,0,H,1,0,H,11,11,5,3,13,11,5,2,2,3,0,0
982,18/02/17,Sp Gijon,Ath Madrid,1,4,A,0,0,D,15,11,2,6,12,10,12,3,1,1,0,0
983,19/02/17,Barcelona,Leganes,2,1,H,1,0,H,13,11,6,6,8,18,4,4,1,3,0,0
984,19/02/17,Celta,Osasuna,3,0,H,1,0,H,11,8,4,3,14,18,3,5,1,0,0,0
985,19/02/17,Sociedad,Villarreal,0,1,A,0,0,D,16,7,0,3,8,19,7,4,2,4,0,0
986,19/02/17,Valencia,Ath Bilbao,2,0,H,2,0,H,15,15,5,5,17,11,3,1,0,1,0,0
987,20/02/17,Malaga,Las Palmas,2,1,H,2,1,H,13,13,6,4,23,14,2,6,3,3,1,0
988,22/02/17,Valencia,Real Madrid,2,1,H,2,1,H,8,22,5,5,12,18,3,11,5,2,0,0
989,24/02/17,Las Palmas,Sociedad,0,1,A,0,0,D,18,9,7,2,14,19,6,1,2,2,0,0
990,25/02/17,Alaves,Valencia,2,1,H,0,0,D,13,5,5,2,13,16,2,1,4,2,0,1
991,25/02/17,Betis,Sevilla,1,2,A,1,0,H,15,13,4,4,19,17,4,4,3,3,0,0
992,25/02/17,Eibar,Malaga,3,0,H,1,0,H,8,4,4,2,11,18,2,2,2,4,0,1
993,25/02/17,Leganes,La Coruna,4,0,H,2,0,H,7,11,5,3,18,13,2,7,2,5,0,1
994,26/02/17,Ath Bilbao,Granada,3,1,H,2,1,H,14,7,7,2,14,16,0,3,1,5,0,0
995,26/02/17,Ath Madrid,Barcelona,1,2,A,0,0,D,12,15,4,6,28,14,6,5,4,2,0,0
996,26/02/17,Espanol,Osasuna,3,0,H,1,0,H,18,4,6,1,11,10,10,2,1,4,0,1
997,26/02/17,Sp Gijon,Celta,1,1,D,0,0,D,20,16,6,5,9,17,7,5,2,4,1,0
998,26/02/17,Villarreal,Real Madrid,2,3,A,0,0,D,11,25,4,6,15,6,5,5,4,1,0,0
999,28/02/17,Malaga,Betis,1,2,A,1,0,H,15,11,4,5,8,16,7,5,3,5,0,0
1000,28/02/17,Sociedad,Eibar,2,2,D,1,1,D,14,13,7,4,12,20,3,5,3,4,1,1
1001,28/02/17,Valencia,Leganes,1,0,H,1,0,H,16,3,6,0,12,26,7,3,3,2,0,1
1002,1/3/2017,Barcelona,Sp Gijon,6,1,H,3,1,H,25,5,9,2,14,12,10,3,1,3,0,0
1003,1/3/2017,Celta,Espanol,2,2,D,2,2,D,8,8,4,2,16,8,1,3,2,2,1,0
1004,1/3/2017,Granada,Alaves,2,1,H,1,0,H,13,11,6,5,19,15,4,4,6,4,0,2
1005,1/3/2017,Osasuna,Villarreal,1,4,A,0,2,A,17,12,3,6,10,13,8,2,3,3,0,0
1006,1/3/2017,Real Madrid,Las Palmas,3,3,D,1,1,D,20,17,7,8,15,16,7,4,4,3,1,0
1007,2/3/2017,La Coruna,Ath Madrid,1,1,D,1,0,H,13,10,2,4,14,10,7,2,2,1,0,0
1008,2/3/2017,Sevilla,Ath Bilbao,1,0,H,1,0,H,14,14,4,4,16,10,6,9,6,2,0,0
1009,3/3/2017,Betis,Sociedad,2,3,A,1,2,A,12,9,5,6,18,15,7,6,4,2,0,0
1010,4/3/2017,Barcelona,Celta,5,0,H,2,0,H,19,7,9,2,10,16,10,1,1,3,0,0
1011,4/3/2017,Eibar,Real Madrid,1,4,A,0,3,A,12,12,2,7,13,14,4,4,1,1,0,0
1012,4/3/2017,Leganes,Granada,1,0,H,0,0,D,16,1,4,1,17,19,7,4,3,2,0,0
1013,4/3/2017,Villarreal,Espanol,2,0,H,1,0,H,11,8,6,2,13,18,1,1,2,2,0,0
1014,5/3/2017,Ath Bilbao,Malaga,1,0,H,0,0,D,15,8,3,2,13,18,8,2,3,5,0,0
1015,5/3/2017,Ath Madrid,Valencia,3,0,H,1,0,H,18,6,8,2,17,9,6,2,1,2,0,0
1016,5/3/2017,Las Palmas,Osasuna,5,2,H,1,2,A,16,10,8,4,7,21,5,1,4,4,0,0
1017,5/3/2017,Sp Gijon,La Coruna,0,1,A,0,1,A,9,7,2,3,11,13,6,4,4,5,0,0
1018,6/3/2017,Alaves,Sevilla,1,1,D,0,1,A,18,9,4,1,12,16,2,2,2,5,0,0
1019,8/3/2017,La Coruna,Betis,1,1,D,0,0,D,15,5,5,3,22,17,6,4,4,7,0,0
1020,10/3/2017,Espanol,Las Palmas,4,3,H,2,1,H,12,12,6,5,18,12,2,5,2,4,0,0
1021,11/3/2017,Granada,Ath Madrid,0,1,A,0,0,D,12,15,2,6,14,15,4,9,3,3,1,0
1022,11/3/2017,Malaga,Alaves,1,2,A,0,1,A,15,4,9,2,17,13,5,3,2,1,0,1
1023,11/3/2017,Sevilla,Leganes,1,1,D,1,1,D,12,12,4,4,20,20,4,1,2,3,0,0
1024,11/3/2017,Valencia,Sp Gijon,1,1,D,0,0,D,20,10,7,4,15,20,7,9,3,5,0,0
1025,12/3/2017,Celta,Villarreal,0,1,A,0,1,A,12,8,1,4,8,11,4,3,4,5,0,0
1026,12/3/2017,La Coruna,Barcelona,2,1,H,1,0,H,14,16,9,5,7,8,4,8,2,0,0,0
1027,12/3/2017,Real Madrid,Betis,2,1,H,1,1,D,14,9,4,4,8,21,8,4,1,0,0,1
1028,12/3/2017,Sociedad,Ath Bilbao,0,2,A,0,1,A,16,9,4,5,15,22,8,3,3,6,0,0
1029,13/03/17,Osasuna,Eibar,1,1,D,0,0,D,10,14,6,7,15,14,6,6,4,4,0,0
